"","eventID","parentEventID","eventDate","samplingProtocol","sampleSizeValue","sampleSizeUnit","footprintWKT","footprintSRS","countryCode","stateProvinde","municipality","location","fieldNumber","fieldNotes"
"48","CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS","CSIC-EEZ:SERPAM:AMOLADERAS_A21","","Quadrat count",0.25,"m^2","POLYGON ((566787.7 4076547, 566788.1 4076547, 566788.4 4076547, 566788 4076546, 566787.7 4076547))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 3 | G-C+","livestock excluded"
"49","CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW","CSIC-EEZ:SERPAM:AMOLADERAS_A21","","Quadrat count",0.25,"m^2","POLYGON ((566787.6 4076547, 566787.1 4076547, 566786.9 4076547, 566787.3 4076547, 566787.6 4076547))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 3 | G-C+","livestock excluded"
"50","CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW","CSIC-EEZ:SERPAM:AMOLADERAS_A19","","Quadrat count",0.25,"m^2","POLYGON ((566797.1 4076559, 566797.5 4076559, 566797.9 4076559, 566797.5 4076559, 566797.1 4076559))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 3 | G-C-","rabbit and livestock excluded"
"51","CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN","CSIC-EEZ:SERPAM:AMOLADERAS_A19","","Quadrat count",0.25,"m^2","POLYGON ((566798 4076559, 566798.3 4076559, 566798.7 4076559, 566798.4 4076559, 566798 4076559))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 3 | G-C-","rabbit and livestock excluded"
"52","CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE","CSIC-EEZ:SERPAM:AMOLADERAS_A19","","Quadrat count",0.25,"m^2","POLYGON ((566798.4 4076558, 566798.7 4076558, 566798.4 4076558, 566798.1 4076558, 566798.4 4076558))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 3 | G-C-","rabbit and livestock excluded"
"53","CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS","CSIC-EEZ:SERPAM:AMOLADERAS_A19","","Quadrat count",0.25,"m^2","POLYGON ((566797.9 4076558, 566797.6 4076558, 566797.2 4076558, 566797.5 4076558, 566797.9 4076558))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 3 | G-C-","rabbit and livestock excluded"
"54","CSIC-EEZ:SERPAM:AMOLADERAS_A23_QW","CSIC-EEZ:SERPAM:AMOLADERAS_A23","","Quadrat count",0.25,"m^2","POLYGON ((566988.1 4076780, 566988.5 4076780, 566988.9 4076780, 566988.6 4076779, 566988.1 4076780))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 4 | G-C+","livestock excluded"
"55","CSIC-EEZ:SERPAM:AMOLADERAS_A23_QN","CSIC-EEZ:SERPAM:AMOLADERAS_A23","","Quadrat count",0.25,"m^2","POLYGON ((566989.4 4076779, 566989 4076780, 566989.3 4076780, 566989.7 4076780, 566989.4 4076779))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 4 | G-C+","livestock excluded"
"56","CSIC-EEZ:SERPAM:AMOLADERAS_A23_QE","CSIC-EEZ:SERPAM:AMOLADERAS_A23","","Quadrat count",0.25,"m^2","POLYGON ((566989.1 4076779, 566989.3 4076779, 566989.8 4076779, 566989.5 4076778, 566989.1 4076779))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 4 | G-C+","livestock excluded"
"57","CSIC-EEZ:SERPAM:AMOLADERAS_A23_QS","CSIC-EEZ:SERPAM:AMOLADERAS_A23","","Quadrat count",0.25,"m^2","POLYGON ((566988.6 4076779, 566989 4076779, 566988.6 4076778, 566988.2 4076779, 566988.6 4076779))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 4 | G-C+","livestock excluded"
"58","CSIC-EEZ:SERPAM:AMOLADERAS_A24_QE","CSIC-EEZ:SERPAM:AMOLADERAS_A24","","Quadrat count",0.25,"m^2","POLYGON ((567007.5 4076778, 567007.9 4076778, 567007.6 4076778, 567007.2 4076778, 567007.5 4076778))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 4 | G+C+","herbivorism (sheep, rabbit)"
"59","CSIC-EEZ:SERPAM:AMOLADERAS_A24_QN","CSIC-EEZ:SERPAM:AMOLADERAS_A24","","Quadrat count",0.25,"m^2","POLYGON ((567007.5 4076778, 567007.1 4076779, 567007.4 4076779, 567007.8 4076779, 567007.5 4076778))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 4 | G+C+","herbivorism (sheep, rabbit)"
"60","CSIC-EEZ:SERPAM:AMOLADERAS_A24_QW","CSIC-EEZ:SERPAM:AMOLADERAS_A24","","Quadrat count",0.25,"m^2","POLYGON ((567006.3 4076779, 567006.6 4076779, 567007 4076779, 567006.7 4076778, 567006.3 4076779))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 4 | G+C+","herbivorism (sheep, rabbit)"
