eventID,parentEventID,eventDate,samplingProtocol,sampleSizeValue,sampleSizeUnit,footprintWKT,footprintSRS,countryCode,stateProvinde,municipality,location,fieldNumber,fieldNotes
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A21,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.251021 36.83244, -2.251016 36.83245, -2.251013 36.83244, -2.251018 36.83244, -2.251021 36.83244))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A21,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.251022 36.83245, -2.251027 36.83244, -2.25103 36.83245, -2.251025 36.83245, -2.251022 36.83245))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A19,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.250914 36.83255, -2.25091 36.83256, -2.250906 36.83255, -2.25091 36.83255, -2.250914 36.83255))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A19,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.250904 36.83255, -2.250901 36.83256, -2.250897 36.83255, -2.2509 36.83255, -2.250904 36.83255))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A19,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.2509 36.83255, -2.250896 36.83255, -2.2509 36.83254, -2.250904 36.83255, -2.2509 36.83255))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A19,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.250905 36.83255, -2.250909 36.83254, -2.250913 36.83254, -2.25091 36.83255, -2.250905 36.83255))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A23_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A23,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.248753 36.83453, -2.248749 36.83453, -2.248744 36.83453, -2.248748 36.83453, -2.248753 36.83453))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A23_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A23,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.248739 36.83453, -2.248743 36.83453, -2.248739 36.83453, -2.248735 36.83453, -2.248739 36.83453))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A23_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A23,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.248743 36.83452, -2.248739 36.83452, -2.248734 36.83452, -2.248738 36.83452, -2.248743 36.83452))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A23_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A23,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.248748 36.83452, -2.248744 36.83452, -2.248748 36.83452, -2.248752 36.83452, -2.248748 36.83452))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G-C+,livestock excluded
